youtube_id,Music,Musical instrument,memorability_score
SQBuVfTX1ME_original_7.wav,0.7536689043045044,0.4242709875106812,0.8
a8cJLohQ_Jg_1_semitones_1.wav,0.7968189120292664,0.5967977046966553,0.5243902439024389
Yh78Ll6-ODQ_-2_semitones_2.wav,0.8430923819541931,0.5694889426231384,0.7083333333333334
Yh78Ll6-ODQ_1_semitones_3.wav,0.8430923819541931,0.5694889426231384,0.7083333333333334
xhmtXrtLkgo_3_semitones_9.wav,0.7562308311462402,0.03315020725131035,0.8974358974358975
VAc0xuVa7jI_4_semitones_5.wav,0.7814329862594604,0.2369024604558945,0.96
IN1f9k8qVDk_5_semitones_3.wav,0.8263754844665527,0.32546451687812805,0.5243902439024389
SyZOAgXiPMw_3_semitones_6.wav,0.7513976693153381,0.04063475504517555,0.3253012048192771
JQTlG7NxJek_-2_semitones_3.wav,0.865548312664032,0.09874582290649414,0.3953488372093023
Tfypj4UwvvA_3_semitones_1.wav,0.8044160008430481,0.24399679899215695,0.7380952380952381
72T4j04MS8o_2_semitones_2.wav,0.7289712429046631,0.35435983538627625,0.3647058823529412
EfZ-dVDySzc_2_semitones_1.wav,0.7372855544090271,0.0582650862634182,0.6333333333333333
bwQ49N0jVvE_3_semitones_2.wav,0.8681687712669373,0.6376754641532898,0.8472222222222222
VAc0xuVa7jI_3_semitones_4.wav,0.7814329862594604,0.2369024604558945,0.96
C7u6rtswjCU_-1_semitones_6.wav,0.8698879480361938,0.115848571062088,0.7802197802197802
VlWs8ey2nyg_-2_semitones_2.wav,0.8636098504066467,0.15566332638263702,0.9
1juIFmPyG-Y_-5_semitones_2.wav,0.9168948531150818,0.7867832779884338,0.9285714285714286
hMWoOunsMFM_2_semitones_1.wav,0.6175564527511597,0.0,0.875
bwQ49N0jVvE_3_semitones_4.wav,0.8681687712669373,0.6376754641532898,0.8472222222222222
EH1OEWJ9C5w_2_semitones_6.wav,0.7033094167709351,0.2595727741718292,0.5287356321839081
